word,sense,WelshSynset_1,WelshSynset_2,WelshSynset_3,WelshSynset_4,WelshSynset_5,WelshSynset_6,WelshSynset_7,WelshSynset_8,WelshSynset_9,WelshSynset_10,WelshSynset_11,WelshSynset_12,WelshSynset_13,WelshSynset_14,WelshSynset_15,WelshSynset_16,WelshSynset_17,WelshSynset_18,WelshSynset_19,WelshSynset_20,WelshSynset_21,WelshSynset_22,WelshSynset_23,WelshSynset_24,WelshSynset_25,WelshSynset_26,WelshSynset_27,WelshSynset_28,WelshSynset_29,WelshSynset_30,WelshSynset_31,WelshSynset_32,WelshSynset_33,WelshSynset_34,WelshSynset_35,WelshSynset_36,WelshSynset_37,WelshSynset_38,WelshSynset_39,WelshSynset_40,WelshSynset_41,WelshSynset_42,WelshSynset_43,WelshSynset_44,WelshSynset_45,WelshSynset_46,WelshSynset_47
man,location,lleoliad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
man,spot , blemish,twyts , twtsh , twts , smotyn , sbotio , sbot , piryn , mwfflyn , mod , llecyn , hagru , chwythryn , chwithryn , byt , blotyn , bit , adnabod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diwrnod,day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhyw,sex,ysglen , rhywioledd , rhyw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhyw,sex,ysglen , rhywioledd , rhyw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwasanaeth,service,gweinidogaeth , gwasanaeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwlad,cournty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyfnod,era,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bywyd,life,bywyd , oesiad , oesawd , oesad , hoedliad , hoedl , hoeddl , eneidioldeb , cyfyw , bywydoldeb , bywoledd , bywogrwydd , bywioledd , bywiogrwydd , bywiogaeth , bywiocâd , bywiant , bywhad , bywgraffyddiaeth , bywgraffiaeth , bywgraffiad , bywdod , bywdeb , bywdab , buchynt , buches , bucheddiad , buchdraith , buchdraethiad , buchdraeth , biograffi,,,,,,,,,,,,,,,,
cig,meat,cig , sybstans , swbstans , rhin , ile , hanfodoledd , hanfodoldeb , hanfodiaeth , hanfodiad , hanfodedd , hanfodaeth , han , gorsefylliad , gorsefylledd , canoli , canol , calon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
