,Gair,lemma,tag,pymusas,synset,lemma.1,tag.1,pymusas_1
100,angen,angen,E,['S6+'],rhaid,rhaid,E,"['S6+', 'A11.1+']"
102,angen,angen,E,['S6+'],eisiau,eisiau,E,"['X7+', 'S6+', 'A7+', 'S3.2', 'A9-']"
105,angen,angen,E,['S6+'],arnom,ar,Ar,['Z5']
106,angen,angen,E,['S6+'],dylid,dylu,B,['Z99']
108,angen,angen,E,['S6+'],eisio,eisio,E,"['X7+', 'S6+', 'A7+', 'S3.2', 'A9-']"
109,angen,angen,E,['S6+'],isio,eisiau,E,"['X7+', 'S6+', 'A7+', 'S3.2', 'A9-']"
111,amser,amser,E,"['X7+/T1', 'N3.1/T1']",famser,famser,unk,['Z99']
112,amser,amser,E,"['X7+/T1', 'N3.1/T1']",amse,amse,unk,['Z99']
115,amser,amser,E,"['X7+/T1', 'N3.1/T1']",diamser,diamser,unk,['Z99']
116,amser,amser,E,"['X7+/T1', 'N3.1/T1']",amserydd,amserydd,E,['T1/O2']
117,amser,amser,E,"['X7+/T1', 'N3.1/T1']",awr,awr,E,['T1.3']
118,amser,amser,E,"['X7+/T1', 'N3.1/T1']",amsar,amsar,unk,['Z99']
119,amser,amser,E,"['X7+/T1', 'N3.1/T1']",dreulir,treulio,B,"['I1.2', 'A1.5.1', 'T1.3']"
120,ffordd,ffordd,E,['A13.3'],fordd,fordd,unk,['Z99']
121,ffordd,ffordd,E,['A13.3'],brifffordd,brifffordd,unk,['Z99']
122,ffordd,ffordd,E,['A13.3'],ffyrdd,ffwrdd,E,['A13.3']
123,ffordd,ffordd,E,['A13.3'],priffordd,priffordd,E,['M3']
124,ffordd,ffordd,E,['A13.3'],briffordd,priffordd,E,['M3']
125,ffordd,ffordd,E,['A13.3'],gyffordd,gyffordd,unk,['Z99']
126,ffordd,ffordd,E,['A13.3'],phriffordd,priffordd,E,['M3']
128,ffordd,ffordd,E,['A13.3'],rhywffordd,rhywffordd,unk,['Z99']
129,ffordd,ffordd,E,['A13.3'],ffor,ffor,unk,['Z99']
130,ffordd,ffordd,E,['A13.3'],fordd,fordd,unk,['Z99']
131,ffordd,ffordd,E,['A13.3'],brifffordd,brifffordd,unk,['Z99']
132,ffordd,ffordd,E,['A13.3'],ffyrdd,ffwrdd,E,['A13.3']
133,ffordd,ffordd,E,['A13.3'],priffordd,priffordd,E,['M3']
134,ffordd,ffordd,E,['A13.3'],briffordd,priffordd,E,['M3']
135,ffordd,ffordd,E,['A13.3'],gyffordd,gyffordd,unk,['Z99']
136,ffordd,ffordd,E,['A13.3'],phriffordd,priffordd,E,['M3']
138,ffordd,ffordd,E,['A13.3'],rhywffordd,rhywffordd,unk,['Z99']
139,ffordd,ffordd,E,['A13.3'],ffor,ffor,unk,['Z99']
142,enw,enw,E,['Q2.2'],go,go,Adf,"['Z4', 'E2++']"
144,enw,enw,E,['Q2.2'],cyfenw,cyfenw,E,['Q2.2']
145,enw,enw,E,['Q2.2'],llysenw,llysenw,unk,['Z99']
146,enw,enw,E,['Q2.2'],gyfenw,cyfenw,E,['Q2.2']
148,enw,enw,E,['Q2.2'],lysenw,lysenw,unk,['Z99']
149,enw,enw,E,['Q2.2'],ffugenw,ffugenw,E,['A5.4-']
150,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",blwydd,blwydd,E,"['T1.3', 'P1c']"
151,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",draw,draw,Adf,['M6']
154,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",blwyddau,blwyddau,unk,['Z99']
155,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",blwyddi,blwydd,E,['T1.3']
156,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",llau,lleuen,E,['L2']
157,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",tennyn,tennyn,E,['Z99']
158,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",cau,cau,B,"['A1.1.1', 'A10-', 'T2-']"
159,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",rhionydd,rhionydd,unk,['Z99']
160,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",blwydd,blwydd,E,"['T1.3', 'P1c']"
161,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",draw,draw,Adf,['M6']
164,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",blwyddau,blwyddau,unk,['Z99']
165,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",blwyddi,blwydd,E,['T1.3']
166,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",llau,lleuen,E,['L2']
167,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",tennyn,tennyn,E,['Z99']
168,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",cau,cau,B,"['A1.1.1', 'A10-', 'T2-']"
169,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",rhionydd,rhionydd,unk,['Z99']
170,lle,lle,Rha,['M6'],ble,ble,Rha,['M6']
171,lle,lle,Rha,['M6'],modd,bodd,E,['N2']
172,lle,lle,Rha,['M6'],fan,fan,E,['M3fn']
173,lle,lle,Rha,['M6'],hefyd,hefyd,Adf,['N5++']
175,lle,lle,Rha,['M6'],ddiau,diau,Ans,['A7+']
176,lle,lle,Rha,['M6'],tra,tra,Cys,['Z5']
177,lle,lle,Rha,['M6'],pryd,pryd,E,"['X7+/T1', 'N3.1/T1']"
178,lle,lle,Rha,['M6'],fannau,ban,E,"['N5.1+', 'A5.1+++']"
179,lle,lle,Rha,['M6'],ond,ond,Cys,['Z5']
181,mis,mis,E,['T1.3'],llynedd,llynedd,Adf,['Z99']
182,mis,mis,E,['T1.3'],ionawr,ionawr,unk,['Z99']
183,mis,mis,E,['T1.3'],tachwedd,tachwedd,unk,['Z99']
184,mis,mis,E,['T1.3'],mawrth,mawrth,unk,['Z99']
185,mis,mis,E,['T1.3'],gorffennaf,gorffen,B,"['T2-', 'Q1.2']"
186,mis,mis,E,['T1.3'],medi,medi | medi,B | B,"['F4', 'A9+']"
187,mis,mis,E,['T1.3'],wythnos,wythnos,E,['T1.3']
188,mis,mis,E,['T1.3'],hydref,hydref,E,['T1.3']
189,mis,mis,E,['T1.3'],chwefror,chwefror,unk,['Z99']
190,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",cyntaf,un,Rhi,"['N4', 'P1@']"
191,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",cynta,un,Rhi,"['N4', 'P1@']"
192,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",cynta,un,Rhi,"['N4', 'P1@']"
193,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",cynta,un,Rhi,"['N4', 'P1@']"
195,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",eildro,eildro,E,['Z99']
196,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",dwuy,dwuy,unk,['Z99']
197,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",erioed,erioed,Adf,['T1/Z6']
198,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",ers,ers,Ar,['N4']
199,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",degawd,degawd,E,['T1.3']
202,llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",cyfrolau,cyfrol,E,"['N3.4', 'N5', 'Q4.1', 'Q4.2', 'X3.2']"
204,llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",pumllyfr,pumllyfr,unk,['Z99']
205,llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",llyfryn,llyfryn,E,['Q4.1']
206,llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",llyfre,llyfre,unk,['Z99']
207,llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",cyfrol,cyfrol,E,"['N3.4', 'N5', 'Q4.1', 'Q4.2', 'X3.2']"
