,Gair,lemma,tag,pymusas,synset,lemma.1,tag.1,pymusas_1
69,byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",gwledydd,gwlad,E,['M7']
70,dydd,dydd,E,['T1.3'],bob,bob,unk,['Z99']
72,dydd,dydd,E,['T1.3'],wawrddydd,wawrddydd,unk,['Z99']
73,dydd,dydd,E,['T1.3'],nos,nos,E,['T1.3']
74,dydd,dydd,E,['T1.3'],pnawn,pnawn,E,['T1.3']
75,dydd,dydd,E,['T1.3'],gwener,gwenu,B,['E4.1+']
76,dydd,dydd,E,['T1.3'],7dydd,7dydd,unk,['Z99']
77,dydd,dydd,E,['T1.3'],sadwrn,sadwrn,unk,['Z99']
78,dydd,dydd,E,['T1.3'],Mawrthdydd,Mawrthdydd,E,['Z99']
79,dydd,dydd,E,['T1.3'],prydnawn,prydnawn,unk,['Z99']
80,rhaid,rhaid,E,"['S6+', 'A11.1+']",iddo,i,Ar,['Z5']
81,rhaid,rhaid,E,"['S6+', 'A11.1+']",bydd,bod,B,"['A3+', 'Z5']"
82,rhaid,rhaid,E,"['S6+', 'A11.1+']",chi,chi,Rha,['Z8mf']
83,rhaid,rhaid,E,"['S6+', 'A11.1+']",angen,angen,E,['S6+']
84,rhaid,rhaid,E,"['S6+', 'A11.1+']",fod,bod,B,"['A3+', 'Z5']"
85,rhaid,rhaid,E,"['S6+', 'A11.1+']",bod,bod,B,"['A3+', 'Z5']"
86,rhaid,rhaid,E,"['S6+', 'A11.1+']",iddynt,i,Ar,['Z5']
87,rhaid,rhaid,E,"['S6+', 'A11.1+']",inni,i,Ar,['Z5']
88,rhaid,rhaid,E,"['S6+', 'A11.1+']",gael,cael,B,"['A9+', 'Z5', 'X9.2+', 'A2.1+', 'A2.2', 'M1', 'M2', 'X2.5+', 'E4.1-']"
91,tŷ,tŷ,E,['H4'],ty,tyfu | tyfu,B | B,['Z99']
92,tŷ,tŷ,E,['H4'],oikos,oikos,unk,['Z99']
93,tŷ,tŷ,E,['H4'],skola,skola,unk,['Z99']
94,tŷ,tŷ,E,['H4'],wâcau,wâcau,unk,['Z99']
95,tŷ,tŷ,E,['H4'],tþ,tþ,unk,['Z99']
97,tŷ,tŷ,E,['H4'],tshey,tshey,unk,['Z99']
99,tŷ,tŷ,E,['H4'],hâf,hâf,unk,['Z99']
100,angen,angen,E,['S6+'],arnoch,ar,Ar,['Z5']
101,angen,angen,E,['S6+'],bydd,bod,B,"['A3+', 'Z5']"
102,angen,angen,E,['S6+'],chi,chi,Rha,['Z8mf']
103,angen,angen,E,['S6+'],rhaid,rhaid,E,"['S6+', 'A11.1+']"
104,angen,angen,E,['S6+'],bod,bod,B,"['A3+', 'Z5']"
106,angen,angen,E,['S6+'],fod,bod,B,"['A3+', 'Z5']"
107,angen,angen,E,['S6+'],ailedrych,ailedrych,B,['Z99']
108,angen,angen,E,['S6+'],WhatDoTheyKnow,WhatDoTheyKnow,E,['Z99']
109,angen,angen,E,['S6+'],oes,bod,B,"['A3+', 'Z5']"
