Gair,lemma,tag,pymusas,synset,lemma,tag,pymusas_1
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",Ledled,ledled,Adf,['Z99']
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",draws,traws,Ar,['M6']
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",wlad,gwlad,E,"['G1.1c', 'W3', 'F4/M7']"
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",wledydd,gwlad,E,"['G1.1c', 'W3', 'F4/M7']"
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",fwyaf,mawr,Ans,['N3.2+']
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",rhyngwladol,rhyngwladol,Ans,"['M7/S5+c', 'K5.1', 'K5.1/S2mf']"
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",gorau,da,Ans,"['A5.1+++', 'A13.2', 'G2.2+++', 'O4.2+++']"
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",gwledydd,gwlad,E,['M7']
dydd,dydd,E,['T1.3'],bob,bob,unk,['Z99']
dydd,dydd,E,['T1.3'],ddydd,dydd,E,['T1.3']
dydd,dydd,E,['T1.3'],wawrddydd,wawrddydd,unk,['Z99']
dydd,dydd,E,['T1.3'],nos,nos,E,['T1.3']
dydd,dydd,E,['T1.3'],pnawn,pnawn,E,['T1.3']
dydd,dydd,E,['T1.3'],gwener,gwenu,B,['E4.1+']
dydd,dydd,E,['T1.3'],7dydd,7dydd,unk,['Z99']
dydd,dydd,E,['T1.3'],sadwrn,sadwrn,unk,['Z99']
dydd,dydd,E,['T1.3'],Mawrthdydd,Mawrthdydd,E,['Z99']
dydd,dydd,E,['T1.3'],prydnawn,prydnawn,unk,['Z99']
rhaid,rhaid,E,"['S6+', 'A11.1+']",iddo,i,Ar,['Z5']
rhaid,rhaid,E,"['S6+', 'A11.1+']",bydd,bod,B,"['A3+', 'Z5']"
rhaid,rhaid,E,"['S6+', 'A11.1+']",chi,chi,Rha,['Z8mf']
rhaid,rhaid,E,"['S6+', 'A11.1+']",angen,angen,E,['S6+']
rhaid,rhaid,E,"['S6+', 'A11.1+']",fod,bod,B,"['A3+', 'Z5']"
rhaid,rhaid,E,"['S6+', 'A11.1+']",bod,bod,B,"['A3+', 'Z5']"
rhaid,rhaid,E,"['S6+', 'A11.1+']",iddynt,i,Ar,['Z5']
rhaid,rhaid,E,"['S6+', 'A11.1+']",inni,i,Ar,['Z5']
rhaid,rhaid,E,"['S6+', 'A11.1+']",gael,cael,B,"['A9+', 'Z5', 'X9.2+', 'A2.1+', 'A2.2', 'M1', 'M2', 'X2.5+', 'E4.1-']"
rhaid,rhaid,E,"['S6+', 'A11.1+']",raid,rhaid,E,"['S6+', 'A11.1+']"
tŷ,tŷ,E,['H4'],dŷ,tŷ,E,['H4']
tŷ,tŷ,E,['H4'],ty,tyfu | tyfu,B | B,['Z99']
tŷ,tŷ,E,['H4'],oikos,oikos,unk,['Z99']
tŷ,tŷ,E,['H4'],skola,skola,unk,['Z99']
tŷ,tŷ,E,['H4'],wâcau,wâcau,unk,['Z99']
tŷ,tŷ,E,['H4'],tþ,tþ,unk,['Z99']
tŷ,tŷ,E,['H4'],Tŷ,tŷ,E,['H4']
tŷ,tŷ,E,['H4'],tshey,tshey,unk,['Z99']
tŷ,tŷ,E,['H4'],thŷ,tŷ,E,['H4']
tŷ,tŷ,E,['H4'],hâf,hâf,unk,['Z99']
angen,angen,E,['S6+'],arnoch,ar,Ar,['Z5']
angen,angen,E,['S6+'],bydd,bod,B,"['A3+', 'Z5']"
angen,angen,E,['S6+'],chi,chi,Rha,['Z8mf']
angen,angen,E,['S6+'],rhaid,rhaid,E,"['S6+', 'A11.1+']"
angen,angen,E,['S6+'],bod,bod,B,"['A3+', 'Z5']"
angen,angen,E,['S6+'],hangen,angen,E,['S6+']
angen,angen,E,['S6+'],fod,bod,B,"['A3+', 'Z5']"
angen,angen,E,['S6+'],ailedrych,ailedrych,B,['Z99']
angen,angen,E,['S6+'],WhatDoTheyKnow,WhatDoTheyKnow,E,['Z99']
angen,angen,E,['S6+'],oes,bod,B,"['A3+', 'Z5']"
amser,amser,E,"['X7+/T1', 'N3.1/T1']",goramser,goramser,E,['I3.1/T1.3+']
amser,amser,E,"['X7+/T1', 'N3.1/T1']",Llinellamser,Llinellamser,E,['Z99']
amser,amser,E,"['X7+/T1', 'N3.1/T1']",bob,bob,unk,['Z99']
amser,amser,E,"['X7+/T1', 'N3.1/T1']",cylchfa,cylchfa,E,"['M7', 'W3', 'T1.1', 'O4.4']"
amser,amser,E,"['X7+/T1', 'N3.1/T1']",amserOnd,amserOnd,unk,['Z99']
amser,amser,E,"['X7+/T1', 'N3.1/T1']",oramser,goramser | goramser,Adf | E,['Z99']
amser,amser,E,"['X7+/T1', 'N3.1/T1']",lawnamser,lawnamser,unk,['Z99']
amser,amser,E,"['X7+/T1', 'N3.1/T1']",amserO,amseru,B,"['X7+/T1', 'N3.1/T1']"
amser,amser,E,"['X7+/T1', 'N3.1/T1']",Treila,Treila,E,['Z99']
amser,amser,E,"['X7+/T1', 'N3.1/T1']",10381,10381,Gw,['Z99']
ffordd,ffordd,E,['A13.3'],Gwibffordd,Gwibffordd,E,['Z99']
ffordd,ffordd,E,['A13.3'],slipffordd,slipffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],gwibffordd,gwibffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],Ysgwdffordd,Ysgwdffordd,E,['Z99']
ffordd,ffordd,E,['A13.3'],isffordd,isffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],ddwyffordd,ddwyffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],gefnffordd,gefnffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],unffordd,unffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],bellffordd,bellffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],dwyffordd,dwyffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],Gwibffordd,Gwibffordd,E,['Z99']
ffordd,ffordd,E,['A13.3'],slipffordd,slipffordd,unk,['Z99']
